cnpj_nome;contribuinte_icms;consumidor_final;endereco;bairro;cidade;uf;cep
00.000.000/0000-00 - CANGZHOU GREAT DRILL BITS CO. LTD;Não;Cons.Final;NO. 2, JIANSHE NORTH STREET, YINGZHOU ECONOMIC DEVELOPMENT ZONE;EXTERIOR;ABADIA DE GOIAS;GO;00000-000
00.000.000/0000-00 - ACKERMAN DRILLING SERVICES, LLC;Não;Cons.Final;LANGFIELD RD, HOUSTON, TX 77040, ESTADOS UNIDOS;EXTERIOR;EXTERIOR;EX;00000-000
00.000.000/0000-00 - TEXAS INTERNATIONAL OILFIELD TOOLS;Não;Exportacao;3035 EASTVELD DR, HOUSTON, TX 77073, ESTADOS UNIDOS;EXTERIOR;EXTERIOR;EX;00000-000
.   .   /    - - WIEDER ENERGY LTD;Não;Exportacao;KINGSWAY PALACE, 4TH FLOOR - FLAT 20, VL 115, MALTA;REPUBLIC STREET VALLETTA;EXTERIOR;EX;-
.   .   /    - - CLIENTE PADRAO;;Cons.Final;R...;;SIMOES FILHO;BA;-
00.223.060/0001-73 - USIMEQ USINAGEM MANUTENCAO DE EQUIPAMENTOS LTDA;Não;Cons.Final;AVENIDA RECONCAVO DOS CORAIS 241;MORADA DO RIBEIRAO;SAO MATEUS;ES;29936-360
00.271.847/0001-00 - IMETAME ENERGIA S.A;Sim;Cons.Final;RODOVIA DEMOCRITO MOREIRA 643;FATIMA;ARACRUZ;ES;29192-243
00.271.847/0008-87 - IMETAME ENERGIA SA;Não;Cons.Final;R VILA CAMACARI MGSR3 SN;MONTE GORDO - MONTE GORDO;CAMACARI;BA;42820-000
00.271.847/0010-00 - IMETAME ENERGIA SA;Não;Cons.Final;ROD ES 358 SN - KM 30;ZONA RUAL;ARACRUZ;ES;29900-970
00.271.847/0013-44 - IMETAME ENERGIA;Não;Cons.Final;FAZENDA DUAS PASSAGENS, ZONA RURAL;;BENEDITO LEITE;MA;-
00.900.849/0001-11 - UNIPER - HIDROGEOLOGIA E PERFURACOES LTD;Sim;Cons.Final;AV JOAO BATISTA MENDES FERRAZ 1981;PORTAL DAS LARANJEIRAS;ARARAQUARA;SP;14803-685
00.948.820/0001-00 - EBS- EMPRESA BRASILEIRA DE SANEAMENTO LT;Não;Cons.Final;R ISMAL 450 - TERREO;VILA AUREA;PONTA PORA;MS;79902-110
00.948.820/0004-52 - EBS- EMPRESA BRASILEIRA DE SANEAMENTO LT;Não;Cons.Final;TRAVESSA SERAFIM COSTA 181 - QUADRAG;GRUTA DE LOURDES;MACEIO;AL;57052-496
00.984.399/0001-92 - JEDEL INDUSTRIA E COMERCIO DE FERRAMENTA;Sim;Cons.Final;RUA JOAQUIM BRANCO 80;PARQUE MARAJOARA;SANTO ANDRE;SP;09112-010
01.130.764/524 - - TESTE;Não;Cons.Final;.;.;ABARE;BA;-
01.458.040/0001-44 - ITAPOCOS POCOS ARTESIANOS ITABIRA NASCIM;Não;Cons.Final;R ISRAEL PINHEIRO 546 - C;MAJOR LAGE DE CIMA;ITABIRA;MG;35900-401
01.563.759/0001-45 - EDVED SERVICOS ELETRICOS LTDA;Não;Cons.Final;RUA JOSE MARIANE 350;BOA VISTA;CATU;BA;48110-000
02.161.763/0001-40 - EPLATA LTDA;Não;Cons.Final;RUA NOSSA SENHORA DA CONCEICAO 145 CENTRO APODI - RN;CENTRO;APODI;RN;59700-000
02.277.651/0001-59 - BITELA COMERCIO INTERNACIONAL LTDA;Sim;Cons.Final;R DO CARMO 17 - ANDAR 7 ANDAR - PARTE;CENTRO;RIO DE JANEIRO;RJ;20011-020
02.332.886/0001-04 - XP INVESTIMENTOS CORRETORA DE CAMBIO TIT;Não;Cons.Final;AVENIDA ATAULFO DE PAIVA 00153 - SAL 201;LEBLON;RIO DE JANEIRO;RJ;22440-032
02.410.971/0001-35 - METALURGICA BJ LTDA;Não;Cons.Final;RUA DESENBANCO SN;CIS;FEIRA DE SANTANA;BA;44010-635
02.421.836/0001-95 - TRANSUCATA COMERCIO E SERVICO DE METAIS;Não;Cons.Final;RUA CORONEL JOSE RODOLFO PEREIRA DE SOUZA;VALERIA;SALVADOR;BA;41301-335
03.255.266/0003-35 - PRIO BRAVO LTDA;Não;Cons.Final;V 5 PROJETADA SN - LOTE A12 D;PRAIA DO ACU;SAO JOAO DA BARA;RJ;28200-000
03.255.266/0004-16 - PRIO BRAVO LTDA;Não;Cons.Final;VIA 5 PROJETADA SN - LOTE A12 PARTE D;PRAIA DO ACU;SAO JOAO DA BARA;RJ;28200-000
03.341.769/0001-61 - CRISTAL POCOS ARTESIANOS LTDA;Não;Cons.Final;R HERMES DA FONSECA 400 - D;SAO CRISTOVAO;CHAPECO;SC;89804-015
03.342.704/0001-30 - PETRORECONCAVO SA;Sim;Cons.Final;ESTRADA DO VINTE MIL KM 35 SN;MATA DE SAO JOAO;MATA DE SAO JOAO;BA;48280-000
03.342.704/0004-83 - PETRORECONCAVO SA;Sim;Cons.Final;AVENIDA LAURO MONTE 1010 - SALA 1;ABOLICAO;MOSSORO;RN;59619-000
03.637.940/850 - - JOSÉ CARLOS ESPREAFICO;Não;Cons.Final;RUA RUI BARBOSA;CENTRO;NOVA ALIANCA;SP;15210-019
03.836.739/0001-26 - MAISATIVO INTERMEDIACAO DE ATIVOS LTDA;Não;Cons.Final;AV ENGENHEIRO LUIZ CARLOS BERRINI 105 - ANDAR 4 PARTE;CIDADE MONCOES;SAO PAULO;SP;45710-10
03.951.809/0002-78 - PETROSYNERGY LTDA;Não;Cons.Final;R RICARDO LIMA 67;AEROPORTO II;MOSSORO;RN;59607-720
03.951.809/0003-59 - PETROSYNERGY LTDA;Não;Cons.Final;FAZ COMECO SN - : LOCALIDADE D RIACHAO;ZONA RURAL;CATU;BA;48110-000
