AECLAD114045A001 - OBTURADOR DE PRODUCAO AD-1 DN 5.1/2 IN SIZE 45A4;OBTURADOR
AECLANC140000001 - MANDRIL ANCORADOR DE COLUNA 5.1/2 IN;
AECLAR114045A001 - OBTURADOR DE PRODUCAO AR-1 DN 5.1/2 IN SIZE 45A4;
AECLAR114045B001 - PACKER AR-1 DN 5.1/2 IN SIZE 45B;
AECLAR117847B001 - OBTURADOR DE PRODUCAO AR-1 DN 7 IN SIZE 47B4;
AECLAR117847B002 - OBTURADOR DE PRODUCAO AR-1 DN 7 IN SIZE 47B2;
AECLBOS061EUR001 - BOCA DE SINO 2.3/8 IN EU GUIA DE REENTRADA WL ACO GR 4140 80K;
AECLBOS074EUR001 - BOCA DE SINO 5IN X 2.7/8IN EU;
AECLCEN178000001 - SUB CENTRALIZADOR PARA TUBO REV DN 7IN;
AECLCEN178000002 - SUB CENTRALIZADOR PARA TUBO REV DN 7IN PARA POCO DE 8.1/2IN PADRAO CENTEK MOD S2;
AECLCEN340000001 - SUB CENTRALIZADOR BI PARTIDO PARA TUBO REV DN 13.3/8 IN;
AECLCIS01016C001 - PARAFUSO DE CISALHAMENTO 3/8 IN 16 UNC X 1/2 IN;
AECLCNPN14025001 - CORPO SUPERIOR NIPLE DE ASSENTAMENTO N14-25;
AECLCNPN14025002 - CORPO INFERIOR NIPLE DE ASSENTAMENTO N14-25;
AECLCNPN14025003 - ANEL CENTRAL NIPLE DE ASSENTAMENTO N14-25;
AECLCOF140000001 - ANEL CENTRAL PARA  CONECTOR NF-1 REV 5.1/2 IN;
AECLCOF140000002 - ANEL INTERMEDIARIO PARA CONECTOR NF-1 REV 5.1/2 IN;
AECLCOF140000003 - ANEL DE ENCOSTO PARA CONECTOR NF-1 REV 5.1/2 IN;
AECLCRO061074001 - SUB CROSSOVER CONEX PN 2.7/8 IN EU X CONEX PN 2.3/8 IN EU;
AECLCRO061074002 - SUB CROSSOVER CONEX PN 2.7/8 IN NU X CONEX PN 2.3/8 IN EU L 200;
AECLCRO061074003 - SUB CROSSOVER CONEX PN 2.7/8 IN IF X CONEX PN 2.3/8 IN EU L 200;
AECLCRO074077001 - SUB CROSSOVER CONEX PN 2.7/8 IN EU X CONEX PN 3 IN LP L 300;
AECLCRO074089001 - SUB CROSSOVER CONEX PN 2.7/8 IN EU X CONEX CX 3.1/2 IN EU L 300;
AECLCRO074089002 - SUB CROSSOVER CONEX PN 3.1/2 IN EU X CONEX PN 2.7/8 IN NU L 300;
AECLCRO089089001 - SUB CROSSOVER CONEX PN 3.1/2 IN NU X CONEX PN 3.1/2 IN EU L 300;
AECLCRO089115001 - SUB CROSSOVER CONEX PN 3.1/2IN EU X CONEX CX 4.1/2IN EU;
AECLCTS074EUR001 - SUB DE PRESSURIZACAO TIPO CATCHER C/ GAIOLA CONEX 2.7/8 IN EU;
AECLCTS074EUR002 - SUB DE PRESSURIZACAO TIPO CATCHER C/ GAIOLA 2.7/8 IN EU;
